aligned,lapvar,lpips,method,n_inliers,niqe,pair,psnr,scenario,ssim
,3.508923958294272,0.3419947624206543,Base_M1,,9.92276427291728,pair_03,26.212246870994544,S1,0.8855230616658389
False,6.347325519541829,0.3304484188556671,B1_lanczos,0,8.502215314076613,pair_03,26.198803943888382,S1,0.8836279732392824
True,69.39028168606745,0.35011279582977295,B2_homog_alpha,21,5.591712886362763,pair_03,19.51580582877513,S1,0.8070326532992469
True,69.22441614103491,0.5255875587463379,B3_affine_alpha,6,5.17503326217161,pair_03,15.938149175941373,S1,0.7256474441021997
True,69.22441614103491,0.5255875587463379,V2_affine_only,6,5.17503326217161,pair_03,15.938149175941373,S1,0.7256474441021997
True,104.88001176187473,0.5388689637184143,V3_affine_flow,6,4.70685983215037,pair_03,15.91018811733407,S1,0.7227178217959893
True,430.4037186691311,0.5358039140701294,V4_affine_lab,6,4.001662687767772,pair_03,21.23459316641268,S1,0.690219313768586
True,14.061398428808316,0.34361255168914795,V5_full_nopost,6,5.396311677463795,pair_03,26.14368591602782,S1,0.8712583307509624
True,318.1275366358439,0.5224323272705078,V5_full,6,4.157854145321519,pair_03,21.846316307396666,S1,0.7104704767270899
True,14.061398428808316,0.34361255168914795,P1_fidelity,6,5.396311677463795,pair_03,26.14368591602782,S1,0.8712583307509624
True,82.32042492437498,0.39658424258232117,P2_light_post,6,4.109930340006035,pair_03,23.419835773888593,S1,0.8257757009382211
True,391.76883854138885,0.4742618799209595,A1_lightglue,24,4.6413280100687695,pair_03,22.144469754553903,S1,0.7388738876802955
True,442.711141113546,0.4871812164783478,A2_raft,6,4.575280733687045,pair_03,21.87989922226132,S1,0.7224050820314053
True,325.72239788676643,0.436206579208374,A3_learned,24,4.866637890021134,pair_03,22.25326499230244,S1,0.750980741698442
True,20.117442708333332,0.33305925130844116,P3_fidelity_lg,24,5.350070037455461,pair_03,26.138121075915926,S1,0.8738097297207974
,3.396873436738009,0.3381803631782532,Base_M1,,9.805882953130379,pair_04,26.478770496696896,S1,0.8882372705352201
False,6.306863016458062,0.32763391733169556,B1_lanczos,0,8.487883264941809,pair_04,26.464950132809903,S1,0.8862827966661216
True,71.94351041533749,0.37687450647354126,B2_homog_alpha,10,5.210467523647209,pair_04,19.437755251594538,S1,0.803054232766008
False,93.83501353694008,0.5000277757644653,B3_affine_alpha,0,5.741330303457499,pair_04,16.30845364118392,S1,0.7591109840811636
False,93.83501353694008,0.5000277757644653,V2_affine_only,0,5.741330303457499,pair_04,16.30845364118392,S1,0.7591109840811636
False,93.83501353694008,0.5000277757644653,V3_affine_flow,0,5.741330303457499,pair_04,16.30845364118392,S1,0.7591109840811636
False,551.1598822524954,0.5181682705879211,V4_affine_lab,0,5.404048462947916,pair_04,21.71609527794303,S1,0.7072378895448578
False,28.687743748593764,0.3523902893066406,V5_full_nopost,0,5.6251629813939585,pair_04,26.33830126141739,S1,0.8680854237877548
False,551.1598822524954,0.5181682705879211,V5_full,0,5.404048462947916,pair_04,21.71609527794303,S1,0.7072378895448578
False,28.687743748593764,0.3523902893066406,P1_fidelity,0,5.6251629813939585,pair_04,26.33830126141739,S1,0.8680854237877548
False,151.42037968312468,0.3872954845428467,P2_light_post,0,4.6455687724254,pair_04,23.439526727887582,S1,0.8238678835257962
True,474.2370004317685,0.4713892340660095,A1_lightglue,22,4.653497623348126,pair_04,22.256888911946646,S1,0.7402344319184218
False,551.1598822524954,0.5181682705879211,A2_raft,0,5.404048462947916,pair_04,21.71609527794303,S1,0.7072378895448578
True,460.5150327827792,0.45195168256759644,A3_learned,22,5.177306831860205,pair_04,22.36700039664818,S1,0.7500741010777257
True,24.574348954807935,0.3307901918888092,P3_fidelity_lg,22,5.167760339181915,pair_04,26.37714255846682,S1,0.87537142780577
,3.505968898890536,0.32818272709846497,Base_M1,,9.193974903860447,pair_05,22.10352388411328,S1,0.8206350783003242
False,6.088193779881412,0.32081735134124756,B1_lanczos,0,8.436038045822876,pair_05,22.09828041673617,S1,0.8187880571288061
True,228.70966677480456,0.2432635873556137,B2_homog_alpha,75,5.599853228310774,pair_05,18.254122559924742,S1,0.7712883612156309
True,363.25719590883364,0.3424081802368164,B3_affine_alpha,19,4.775065980101802,pair_05,16.696884775330435,S1,0.720589953237863
True,363.25719590883364,0.3424081802368164,V2_affine_only,19,4.775065980101802,pair_05,16.696884775330435,S1,0.720589953237863
True,382.4022110896955,0.3577941656112671,V3_affine_flow,19,4.558992009442636,pair_05,16.66428812336706,S1,0.7199316515954386
True,3396.0098820559283,0.4998971223831177,V4_affine_lab,19,4.5383270999710055,pair_05,17.58399696124063,S1,0.6659243359515085
